mes,Bola1,count_MM_bola1,Bola2,count_MM_bola2,Bola3,count_MM_bola3,Bola4,count_MM_bola4,Bola5,count_MM_bola5,Bola6,count_MM_bola6
11,2,24,0,0,0,0,0,0,0,0,0,0
11,3,17,0,0,0,0,0,0,0,0,0,0
11,4,15,0,0,0,0,0,0,0,0,0,0
11,5,23,0,0,0,0,0,0,0,0,0,0
11,6,18,0,0,0,0,0,0,0,0,0,0
11,7,18,0,0,0,0,0,0,0,0,0,0
11,8,12,0,0,0,0,0,0,0,0,0,0
11,9,12,0,0,0,0,0,0,0,0,0,0
11,10,17,0,0,0,0,0,0,0,0,0,0
11,11,7,0,0,0,0,0,0,0,0,0,0
11,12,13,0,0,0,0,0,0,0,0,0,0
11,13,6,0,0,0,0,0,0,0,0,0,0
11,14,5,0,0,0,0,0,0,0,0,0,0
11,15,4,0,0,0,0,0,0,0,0,0,0
11,16,5,0,0,0,0,0,0,0,0,0,0
11,17,4,0,0,0,0,0,0,0,0,0,0
11,18,1,0,0,0,0,0,0,0,0,0,0
11,19,4,0,0,0,0,0,0,0,0,0,0
11,20,2,0,0,0,0,0,0,0,0,0,0
11,21,1,0,0,0,0,0,0,0,0,0,0
11,22,4,0,0,0,0,0,0,0,0,0,0
11,23,3,0,0,0,0,0,0,0,0,0,0
11,24,1,0,0,0,0,0,0,0,0,0,0
11,25,4,0,0,0,0,0,0,0,0,0,0
11,26,1,0,0,0,0,0,0,0,0,0,0
11,27,1,0,0,0,0,0,0,0,0,0,0
11,28,1,0,0,0,0,0,0,0,0,0,0
12,1,31,0,0,0,0,0,0,0,0,0,0
12,2,17,0,0,0,0,0,0,0,0,0,0
12,3,14,0,0,0,0,0,0,0,0,0,0
12,4,18,0,0,0,0,0,0,0,0,0,0
12,5,17,0,0,0,0,0,0,0,0,0,0
12,6,10,0,0,0,0,0,0,0,0,0,0
12,7,13,0,0,0,0,0,0,0,0,0,0
12,8,18,0,0,0,0,0,0,0,0,0,0
12,9,12,0,0,0,0,0,0,0,0,0,0
12,10,11,0,0,0,0,0,0,0,0,0,0
12,11,5,0,0,0,0,0,0,0,0,0,0
12,12,14,0,0,0,0,0,0,0,0,0,0
12,13,2,0,0,0,0,0,0,0,0,0,0
12,14,3,0,0,0,0,0,0,0,0,0,0
12,15,6,0,0,0,0,0,0,0,0,0,0
12,16,5,0,0,0,0,0,0,0,0,0,0
12,17,2,0,0,0,0,0,0,0,0,0,0
12,18,4,0,0,0,0,0,0,0,0,0,0
12,19,6,0,0,0,0,0,0,0,0,0,0
12,20,7,0,0,0,0,0,0,0,0,0,0
12,21,4,0,0,0,0,0,0,0,0,0,0
