mes_ano,dezenas_combinadas,count_combinacao_MMYY
01/2014,21-30|21-30|21-30|51-60|51-60|51-60,1
01/2014,21-30|31-40|41-50|41-50|51-60|51-60,1
01/2015,1-10|1-10|1-10|1-10|11-20|41-50,1
01/2015,1-10|1-10|21-30|21-30|31-40|41-50,1
01/2015,1-10|1-10|21-30|21-30|41-50|51-60,1
01/2015,1-10|11-20|11-20|21-30|31-40|41-50,1
01/2015,1-10|11-20|21-30|41-50|51-60|51-60,1
01/2015,1-10|31-40|41-50|51-60|51-60|51-60,1
01/2015,21-30|21-30|31-40|41-50|41-50|41-50,1
01/2015,21-30|21-30|31-40|41-50|51-60|51-60,1
01/2015,21-30|21-30|41-50|41-50|51-60|51-60,1
01/2016,1-10|1-10|11-20|11-20|21-30|31-40,1
01/2016,1-10|1-10|21-30|41-50|51-60|51-60,1
01/2016,1-10|1-10|31-40|31-40|41-50|41-50,1
01/2016,1-10|11-20|11-20|11-20|31-40|41-50,1
01/2016,1-10|11-20|21-30|21-30|51-60|51-60,1
01/2016,1-10|11-20|21-30|31-40|31-40|31-40,1
01/2016,1-10|11-20|21-30|41-50|41-50|51-60,1
01/2016,1-10|11-20|31-40|41-50|51-60|51-60,2
01/2016,11-20|21-30|21-30|31-40|51-60|51-60,1
01/2017,1-10|1-10|1-10|1-10|11-20|31-40,1
01/2017,1-10|1-10|11-20|11-20|21-30|21-30,1
01/2017,1-10|1-10|11-20|21-30|41-50|51-60,1
01/2017,1-10|11-20|21-30|21-30|31-40|41-50,1
01/2017,1-10|21-30|21-30|41-50|51-60|51-60,1
01/2017,11-20|11-20|11-20|21-30|41-50|51-60,1
01/2017,11-20|31-40|41-50|51-60|51-60|51-60,1
01/2017,21-30|31-40|31-40|51-60|51-60|51-60,1
01/2018,1-10|1-10|11-20|11-20|21-30|51-60,1
01/2018,1-10|1-10|11-20|21-30|31-40|41-50,1
01/2018,1-10|11-20|31-40|41-50|51-60|51-60,1
01/2018,1-10|21-30|21-30|31-40|41-50|51-60,1
01/2018,1-10|31-40|41-50|41-50|41-50|41-50,1
01/2018,11-20|11-20|21-30|31-40|31-40|51-60,1
01/2018,11-20|21-30|31-40|41-50|51-60|51-60,1
