mes_ano,faixa_Bola1,count_faixa_bola1,faixa_Bola2,count_faixa_bola2,faixa_Bola3,count_faixa_bola3,faixa_Bola4,count_faixa_bola4,faixa_Bola5,count_faixa_bola5,faixa_Bola6,count_faixa_bola6
05/2024,21-30,1,,,,,,,,,,
05/2025,1-10,13,,,,,,,,,,
05/2026,1-10,2,,,,,,,,,,
06/1996,1-10,1,,,,,,,,,,
06/1996,11-20,3,,,,,,,,,,
06/1997,1-10,2,,,,,,,,,,
06/1997,11-20,2,,,,,,,,,,
06/1997,21-30,1,,,,,,,,,,
06/1998,1-10,4,,,,,,,,,,
06/1999,1-10,3,,,,,,,,,,
06/1999,11-20,1,,,,,,,,,,
06/2000,1-10,4,,,,,,,,,,
06/2001,1-10,2,,,,,,,,,,
06/2001,11-20,2,,,,,,,,,,
06/2001,21-30,1,,,,,,,,,,
06/2002,1-10,7,,,,,,,,,,
06/2002,11-20,2,,,,,,,,,,
06/2003,1-10,7,,,,,,,,,,
06/2003,11-20,1,,,,,,,,,,
06/2004,1-10,6,,,,,,,,,,
06/2004,11-20,3,,,,,,,,,,
06/2005,1-10,5,,,,,,,,,,
06/2005,11-20,1,,,,,,,,,,
06/2005,21-30,3,,,,,,,,,,
06/2006,1-10,5,,,,,,,,,,
06/2006,11-20,3,,,,,,,,,,
06/2007,1-10,5,,,,,,,,,,
06/2007,11-20,3,,,,,,,,,,
06/2007,21-30,1,,,,,,,,,,
06/2008,1-10,5,,,,,,,,,,
06/2008,11-20,3,,,,,,,,,,
06/2009,1-10,6,,,,,,,,,,
06/2009,11-20,2,,,,,,,,,,
06/2010,1-10,7,,,,,,,,,,
06/2010,11-20,2,,,,,,,,,,
06/2011,1-10,7,,,,,,,,,,
06/2011,11-20,2,,,,,,,,,,
06/2012,1-10,4,,,,,,,,,,
06/2012,11-20,3,,,,,,,,,,
06/2012,21-30,1,,,,,,,,,,
06/2012,31-40,1,,,,,,,,,,
06/2013,1-10,8,,,,,,,,,,
06/2013,21-30,1,,,,,,,,,,
06/2014,1-10,7,,,,,,,,,,
06/2014,21-30,1,,,,,,,,,,
06/2015,1-10,6,,,,,,,,,,
06/2015,11-20,1,,,,,,,,,,
06/2015,21-30,1,,,,,,,,,,
06/2016,1-10,6,,,,,,,,,,
06/2016,11-20,3,,,,,,,,,,
06/2016,21-30,1,,,,,,,,,,
06/2017,1-10,8,,,,,,,,,,
06/2018,1-10,7,,,,,,,,,,
06/2018,11-20,1,,,,,,,,,,
06/2018,41-50,1,,,,,,,,,,
06/2019,1-10,5,,,,,,,,,,
06/2019,11-20,3,,,,,,,,,,
06/2019,31-40,1,,,,,,,,,,
06/2020,1-10,5,,,,,,,,,,
06/2020,11-20,3,,,,,,,,,,
06/2021,1-10,5,,,,,,,,,,
06/2021,11-20,4,,,,,,,,,,
06/2022,1-10,6,,,,,,,,,,
06/2022,11-20,2,,,,,,,,,,
06/2022,21-30,2,,,,,,,,,,
06/2023,1-10,6,,,,,,,,,,
06/2023,11-20,2,,,,,,,,,,
06/2023,21-30,1,,,,,,,,,,
06/2024,1-10,6,,,,,,,,,,
06/2024,11-20,6,,,,,,,,,,
06/2024,21-30,1,,,,,,,,,,
06/2025,1-10,8,,,,,,,,,,
06/2025,11-20,3,,,,,,,,,,
07/1996,1-10,3,,,,,,,,,,
07/1996,11-20,1,,,,,,,,,,
