dezenas_combinadas,quantidade de vezes
1-10|1-10|31-40|31-40|51-60|51-60,2
31-40|31-40|41-50|41-50|41-50|51-60,2
1-10|21-30|21-30|21-30|51-60|51-60,2
21-30|31-40|31-40|31-40|51-60|51-60,2
1-10|1-10|1-10|31-40|31-40|41-50,2
1-10|21-30|21-30|21-30|21-30|41-50,2
11-20|11-20|31-40|31-40|51-60|51-60,2
11-20|41-50|41-50|41-50|41-50|51-60,2
31-40|41-50|41-50|51-60|51-60|51-60,2
11-20|11-20|11-20|41-50|41-50|41-50,2
1-10|21-30|21-30|21-30|31-40|31-40,2
1-10|1-10|1-10|1-10|21-30|21-30,2
1-10|11-20|11-20|51-60|51-60|51-60,2
1-10|1-10|21-30|51-60|51-60|51-60,2
41-50|41-50|41-50|51-60|51-60|51-60,2
1-10|11-20|51-60|51-60|51-60|51-60,2
21-30|41-50|51-60|51-60|51-60|51-60,2
1-10|1-10|21-30|21-30|21-30|41-50,2
1-10|1-10|1-10|41-50|41-50|51-60,2
21-30|21-30|31-40|41-50|41-50|41-50,2
11-20|11-20|21-30|21-30|21-30|51-60,2
1-10|1-10|1-10|31-40|51-60|51-60,2
1-10|11-20|11-20|11-20|11-20|51-60,2
1-10|1-10|1-10|11-20|51-60|51-60,2
11-20|11-20|11-20|11-20|31-40|31-40,2
1-10|31-40|41-50|41-50|41-50|41-50,2
1-10|1-10|41-50|51-60|51-60|51-60,2
1-10|21-30|21-30|21-30|21-30|51-60,2
11-20|11-20|11-20|31-40|31-40|51-60,2
11-20|21-30|21-30|51-60|51-60|51-60,2
1-10|1-10|21-30|41-50|41-50|41-50,2
1-10|1-10|31-40|51-60|51-60|51-60,2
21-30|21-30|41-50|51-60|51-60|51-60,1
11-20|21-30|21-30|21-30|21-30|51-60,1
1-10|31-40|31-40|31-40|31-40|51-60,1
11-20|11-20|11-20|21-30|21-30|51-60,1
21-30|21-30|31-40|31-40|31-40|51-60,1
1-10|11-20|31-40|31-40|31-40|31-40,1
21-30|31-40|31-40|31-40|31-40|51-60,1
1-10|1-10|1-10|31-40|31-40|31-40,1
11-20|11-20|21-30|21-30|21-30|31-40,1
1-10|1-10|11-20|31-40|31-40|31-40,1
1-10|11-20|11-20|11-20|11-20|31-40,1
11-20|31-40|31-40|31-40|31-40|51-60,1
21-30|21-30|41-50|41-50|41-50|41-50,1
11-20|11-20|11-20|41-50|51-60|51-60,1
